id,line_id,firm,org,neworg,finalorg,mission,category,issue,comments,amlawrank
,,Adams and Reese,Alabama Bar Association - Volunteer Lawyers Program,,Alabama Bar Association - Volunteer Lawyers Program,The Mobile Bar Association Volunteer Lawyers Program Inc. (ñVLPî) is a charitable organization dedicated to delivering pro bono publico legal services to low-income citizens inæMobile County.æ Through local volunteer lawyers the VLP provides free legal services in certain civil matters.,2,Legal Services,,194
,,Adams and Reese,Baton Rouge Bar Association Pro Bono Project,,Baton Rouge Bar Association Pro Bono Project,The Mission of the Baton Rouge Bar Association is to be a catalyst to promote increased and innovative service to the community and the Bar while maintaining a spirit of professional courtesy.,2,Legal Services,,194
,,Adams and Reese,Haitian Medical Project,,Haitian Medical Project,To provide medical attention and healthcare services to the citizens of Haiti in a manner which respects human dignity and the right to life. To develop a long-term healthcare program that will be managed and sustained by the citizens of Haiti.,3,Health/Disability,,194
,,Adams and Reese,Legal Aid Society of Middle Tennessee and the Cumberlands,,Legal Aid Society of Middle Tennessee and the Cumberlands,Legal Aid Society's mission is to enforce advance and defend the legal rights of low-income and vulnerable families in order to obtain for them the basic necessities of life.,2,Legal Services,,194
,,Adams and Reese,Mississippi Volunteer Lawyers Project,,Mississippi Volunteer Lawyers Project,Under the Project Mississippi Bar members agree to take indigent cases on a pro bono basis while the Legal Services offices screen potential clients.æ The Volunteer attorney is matched to a client by the MVLP Director who works from an office located in the Bar headquarters in Jackson. ,2,Legal Services,,194
,,Adams and Reese,Mobile Volunteer Lawyers Program,,Mobile Volunteer Lawyers Program,The Mobile Bar Association Volunteer Lawyers Program Inc. (ñVLPî) is a charitable organization dedicated to delivering pro bono publico legal services to low-income citizens inæMobile County.æ Through local volunteer lawyers the VLP provides free legal services in certain civil matters.,2,Legal Services,,194
,,Adams and Reese,New Orleans Pro Bono Project,,New Orleans Pro Bono Project,The Pro Bono ProjectÍs continuing mission to provide free quality civil legal services to the poor is more important than ever. By engaging volunteer attorneys to render pro bono services The Pro Bono Project serves clients in New Orleans Jefferson St. Bernard St. Tammany and Washington parishes.,2,Legal Services,,194
,,Adams and Reese,Stewpot Ministries Free Legal Clinic,,Stewpot Ministries Free Legal Clinic,Every week lawyers from Mississippi Volunteer Lawyers Project provide free legal counsel during the lunch hour. These lawyers are trained to handle the kinds of legal matters most commonly encountered by the poor elderly and disabled people served at Stewpot.,2,Legal Services,,194
,,Adams and Reese,Young Lawyers Division of the Mississippi Bar Association-Disaster Legal Relief Services,Mississippi Bar Association,Mississippi Bar Association,The Young Lawyers Division provides legal assistance through a toll-free hotline as well as on-site legal assistance at MEMA Disaster Recovery Centers.,2,Legal Services,,194
4,9,Akin Gump,ACLU,,ACLU,The ACLU is our nation's guardian of liberty working daily in courts legislatures and communities to defend and preserve the individual rights and liberties that the Constitution and laws of the United States guarantee everyone in this country. http://w,3,Civil Rights/Civil Liberties,,24
4,7,Akin Gump,Children's Law Center,,Children's Law Center,The Children's Law Center (CLC) envisions a future for the District of Columbia in which every child has a safe home a meaningful education and a healthy mind and body. We work towards this vision by providing legal services to at-risk children and their,3,Children,,24
4,1,Akin Gump,Legal Aid Society,,Legal Aid Society,Mission of The Legal Aid Society <newline>The Legal Aid Society is the nation's oldest and largest provider of legal services to the indigent. Founded in 1876 the Society provides a full range of civil legal services as well as criminal defense work and,2,Legal Services,,24
4,10,Akin Gump,Montgomery County Public Defender's office,,Montgomery County Public Defender's office,The Law Office of the Public Defender provides legal representation to citizens accused by the government of criminal conduct that can result in a loss of freedom.  We defend cases including Felonies Misdemeanors Appeals Juvenile and Children's Service,3,Prisoner's Rights,,24
4,8,Akin Gump,NAACP,,NAACP,Our Mission <newline>The mission of the National Association for the Advancement of Colored People is to ensure the political educational social and economic equality of rights of all persons and to eliminate racial hatred and racial discrimination. <n,3,Civil Rights/Civil Liberties,,24
4,3,Akin Gump,Tahirih Justice Center,,Tahirih Justice Center,The Tahirih Justice Center was founded in 1997 to address the acute need for legal services of immigrant and refugee women who have fled to the U.S. to seek protection from human rights abuses.http://www.tahirih.org/tahirih/about/index.html,3,Human Rights/International,,24
4,5,Akin Gump,Texas Community Building with Attorney Resources (Texas C-Bar),,Texas Community Building with Attorney Resources (Texas C-Bar),Our mission is to improve the quality of life for low-income populations in Texas by providing pro bono business law resources to nonprofits and microentrepreneurs. <newline>We fulfill this mission by: <newline>   1. providing pro bono referrals and direc,3,Nonprofits,,24
4,2,Akin Gump,Volunteer Lawyers for the Arts,,Volunteer Lawyers for the Arts,Our Mission <newline>Since 1969 Volunteer Lawyers for the Arts has been the leading provider of pro bono legal services mediation services educational programs and publications and advocacy to the arts community in the New York area. Through public ad,1,Culture,,24
4,4,Akin Gump,Washington Lawyers Committee for Civil Rights and Urban Affairs,,Washington Lawyers Committee for Civil Rights and Urban Affairs,The Washington Lawyers' Committee for Civil Rights and Urban Affairs for 40 years  has represented both individuals and groups seeking to vindicate their civil rights. It has handled over 5000 civil rights cases in employment housing public accommodat,3,Civil Rights/Civil Liberties,,24
8,19,Alston & Bird,Atlanta Bar Asylum Project,,Atlanta Bar Asylum Project,This is a new pro-bono project initiated this year in partnership with Catholic Social Services. The project is aimed at increasing the involvement of members of the Atlanta Bar Association in immigration matters by pairing pro bono attorneys with applica,3,Immigration,,57
8,20.2,Alston & Bird,Bread for the City,,Bread for the City,The mission of Bread for the City is to provide vulnerable residents of Washington DC with comprehensive services including food clothing medical care and legal and social services in an atmosphere of dignity and respect. We recognize that all peop,2,Legal Services,,57
8,13,Alston & Bird,Capital Area Immigrant Rights Coalition,,Capital Area Immigrant Rights Coalition,The Capital Area Immigrants' Rights Coalition (CAIR Coalition) provides services to the immigrant advocacy community in the greater Washington DC metropolitan area. CAIR Coalition brings together community groups pro bono attorneys volunteers and immig,3,Immigration,,57
8,14,Alston & Bird,Innocence Project,,Innocence Project,Mission Statement <newline>The Innocence Project was founded in 1992 by Barry C. Scheck and Peter J. Neufeld at the Benjamin N. Cardozo School of Law at Yeshiva University to assist prisoners who could be proven innocent through DNA testing. To date 234 ,3,Prisoner's Rights,,57
8,20.1,Alston & Bird,Lawyers Alliance for New York,,Lawyers Alliance for New York, <newline>Mission <newline>Lawyers Alliance for New York is the leading provider of business and transactional legal services for nonprofit organizations that are improving the quality of life in New York City neighborhoods. Our network of pro bono lawyer,3,Nonprofits,,57
8,12,Alston & Bird,National Center for Refugee and Immigrant Children,,National Center for Refugee and Immigrant Children,Our mission is to provide pro bono legal and social services for unaccompanied immigrant children as they navigate the U.S. Immigration Courts.  These children often fleeing domestic abuse gang violence trafficking or poverty arrive in the U.S. withou,3,Immigration,,57
8,18,Alston & Bird,One Child One Lawyer,,One Child One Lawyer, <newline>AVLF took over direction of the Program in March 2005. The mission of One Child One Lawyer is to provide each child removed from an abusive home with appropriate legal representation by a trained and committed attorney speaking on behalf of tha,3,Children,,57
8,17,Alston & Bird,Truancy Intervention Project,,Truancy Intervention Project,It is the mission of the Truancy Intervention Project Georgia Inc. to provide advocacy and other resources to Georgia's children and their families to prevent school failure. <newline>We are pleased to provide this snapshot of the volunteers programs an,3,Education,,57
