probono_id,id,organization_name,location,censusregion,fiscal_year,gross_revenue,amlaw_rank,total_hours,num_attorneys,num_attorneys_over_20_hrs,avg_hrs_per_lawyer,percent_lawyers_over_20_hrs,percent_attorneys_in_us,amlaw200_rank,num_of_lawyers,num_eq_partners,num_non_eq_partners,total_partners,rpl,rank_by_rpl,net_operating_income,ppp,cap,comp_non_eq_partners,api,vpl,lawyers_10m,vpl_last_year,lawyers_10m_last_year,leverage,profit_margin,total_attorneys,total_female_attorneys,female_associates,female_partners,total_minority_attorneys,minority_percentage,asian_american_associates,asian_american_partners,african_american_associates,african_american_partners,hispanic_associates,hispanic_partners,native_american_associates,native_american_partners,us_attorneys,non_us_attorneys,minority_perc_partners,other_partners,other_nonpartners,sqrt_hour,south,midwest,west,percent_female_partner,percent_female_assoc,percent_minority_associates,lngross,sqrt_femalepartner,lnppp,lntotalattorneys,lnrpl,lnincome,nyc,coordinator,num_locations,coordinator1yes,coordinatortime,fulltimeprobono,committee,meet,policy1yes,billablecredit1yes,caponbillable1yes,howmanyhours,bonus1yes,comments,lnsize,prchngrev,percentfemale,percentminority,percentassociate,amlaw100,networkdata,northeast
114257,1,Adams and Reese,New Orleans,South,2005,97000000,194,783,263,13,3,5,100,194,263,101,54,155,370000,196,33500000,335000,275000,9000000,0.910000026,160000,62.5,,,2.609999895,35,300,78,46,32,21,7,3,1,11,1,3,1,,,300,0,2,0,1,1.732050776,1,0,0,0.106666669,0.153333336,0.056666669,18.39022064,0.326598644,12.72188568,5.572154045,12.82125854,17.32705688,0,,8,0,na,,1,Quarterly,1,1,1,20,1,,5.572154045,10.22727,29.65779686,7.984790802,41.06463623,0,1,0
114250,3,Akerman Senterfitt,Miami,South,2005,180000000,117,3347,410,42,8,10,100,117,410,171,35,206,440000,182,73000000,425000,385000,6500000,0.970000029,195000,51.27999878,,,2.400000095,41,400,123,78,45,58,15,3,0,10,2,22,20,,,400,0,11,0,1,2.828427076,1,0,0,0.112499997,0.194999993,0.087499999,19.00846672,0.335410178,12.95984459,6.01615715,12.99452972,18.10597038,0,,,,,,,,,,,,,,6.01615715,8.10811,30.00000191,14.14634132,49.75609589,0,0,0
114278,4,Akin Gump,Dallas,South,2005,618000000,1,42485,794,333,56,44,95,24,794,197,106,303,780000,42,190000000,965000,800000,52500000,1.24000001,305000,32.79000092,,,4.03000021,31,937,315,260,55,127,14,45,6,30,12,22,9,,,901,36,9,1,2,7.483314991,1,0,0,0.058697972,0.277481318,0.103521876,20.24199867,0.242276639,13.77988338,6.677083492,13.56704903,19.06253433,0,,15,1,.,0,1,Monthly,1,1,0,,1,,6.677083492,0.98039,39.67254639,15.99496174,61.83879471,1,1,0
114131,8,Alston & Bird,Atlanta,South,2005,395000000,1,41582,661,381,63,58,100,57,661,148,143,291,595000,107,120000000,810000,580000,49000000,1.360000014,255000,39.22000122,,,4.460000038,30,693,212,167,45,74,11,15,4,30,8,11,3,,,693,0,5,0,3,7.937253952,1,0,0,0.064935066,0.240981236,0.080808081,19.79439545,0.254823595,13.60478973,6.49375391,13.2963171,18.60300255,0,,5,1,50,0,1,Monthly,1,1,1,50,1,,6.49375391,-1.74129,32.07262039,11.19515896,55.97579575,1,1,0
114241,11,Andrews Kurth,Houston,South,2005,225000000,1,5800,374,41,16,11,99,95,374,141,37,178,600000,101,99500000,705000,610000,9000000,1.179999948,290000,34.47999954,,,2.650000095,44,417,109,81,28,42,10,18,1,8,2,3,8,,,416,1,7,0,2,4,1,0,0,0.067146286,0.194244608,0.069544367,19.23161125,0.259126008,13.46595287,5.924255848,13.30468464,18.41566849,0,,8,1,10,0,1,As Needed,0,1,0,,1,ambiguous evaluation of assoc. and of counsel are taken into account,5.924255848,3.68664,29.14438629,11.22994614,52.40641785,1,1,0
114275,12,Arent Fox,Washington D.C.,Northeast,2005,153000000,137,14800,260,131,57,50,100,137,260,85,38,123,590000,113,55500000,650000,540000,11000000,1.100000024,255000,39.22000122,,,3.059999943,36,274,91,64,27,27,10,12,1,6,1,6,1,,,274,0,2,0,0,7.549834251,0,0,0,0.09854015,0.23357664,0.087591238,18.84594917,0.313911051,13.38472748,5.56068182,13.28787804,17.83189392,0,,2,0,.,,1,Monthly,1,1,,,1,,5.56068182,7.74648,35,10.3846159,52.69230652,0,1,1
114109,15,Arnold & Porter,Washington D.C.,Northeast,2005,465500000,1,60022,571,359,111,67,95,46,571,232,0,232,815000,33,193500000,835000,835000,0,1.019999981,340000,29.40999985,,,2.460000038,42,619,213,170,43,77,13,31,6,17,5,16,1,,,587,32,5,0,1,10.53565407,0,0,0,0.069466881,0.274636507,0.103392571,19.95862198,0.263565719,13.63518715,6.347389221,13.61094379,19.08078766,0,,8,1,100,1,1,Periodic basis,1,1,0,,1,,6.347389221,2.53304,37.30297852,13.4851141,59.36952972,1,1,1
114248,18,Baker and Daniels,Indianapolis,Midwest,2005,116500000,176,2656,266,37,10,14,98,176,266,116,26,142,440000,182,44500000,385000,370000,8000000,0.879999995,200000,50,,,2.289999962,38,310,87,66,21,18,6,5,2,10,1,0,0,,,310,0,2,0,0,3.162277699,0,1,0,0.067741938,0.212903231,0.048387095,18.5734024,0.260272801,12.86099815,5.583496094,12.99452972,17.61100006,0,,7,1,20,0,1,Quarterly,1,0,,,1,required investment time goal,5.583496094,10.42654,32.70676804,6.766917706,46.61654282,0,1,0
114211,19,Baker & Hostetler,Cleveland,Midwest,2005,284000000,1,15604,605,135,26,22,100,73,605,153,150,303,470000,168,81500000,535000,445000,53000000,1.139999986,220000,45.45000076,,,3.950000048,29,611,198,137,61,72,12,18,4,16,11,14,7,,,611,0,7,0,2,5.099019527,0,1,0,0.099836335,0.224222586,0.078559741,19.46448517,0.315968871,13.19002247,6.405228615,13.06048775,18.21611404,0,,12,1,Varies?,0,1,As Needed,1,1,0,,1,,6.405228615,0,32.72727203,11.90082645,49.91735458,1,1,0
114186,20,Baker & McKenzie,Chicago,Midwest,2005,1352000000,1,19621,2984,148,40,30,16,3,2984,601,0,601,455000,176,456500000,760000,760000,0,1.669999957,155000,64.51999664,,,4.96999979,34,3309,1178,956,222,71,12,23,11,11,3,14,8,,,597,2712,8,0,1,6.324555397,0,1,0,0.067089759,0.288909048,0.014505893,21.02485085,0.259016901,13.5410738,8.001020432,13.02805233,19.93909836,0,,70,1,100,1,1,bimonthly,1,1,1,60,1,Has many global offices (might be small); the billable hour cap is not set in stone,8.001020432,10.09772,39.477211,2.379356623,79.85925293,1,1,0
