,practiceAreas
Adams and Reese,34
Akin Gump,7
Alston & Bird,13
Andrews Kurth,23
Arent Fox,10
Arnold & Porter,20
Baker & Hostetler,16
Baker & McKenzie,14
Baker and Daniels,24
Ballard Spahr Andrews and Ingersoll,6
Barnes and Thornburg,9
Bingham McCutchen,14
Blank Rome,18
Boies Schiller and Flexner,16
Brown Rudnick Berlack Israels,6
Bryan Cave,20
Buchanan Ingersoll,8
Cadwalader,10
Cahill Gordon,6
Carlton Fields,30
Chadbourne & Parke,12
Choate Hall and Stewart,6
Cleary Gottlieb,10
Cooley Godward,24
Covington & Burling,24
Cravath,4
Crowell and Moring,16
Davis Polk,4
Davis Wright Tremaine,33
Debevoise & Plimpton,4
Dechert,14
Dewey Ballantine,15
Dickstein Shapiro,5
DLA Piper,13
Dorsey & Whitney,33
Drinker Biddle,10
Dykema Gossett,11
Edwards Angell,15
Faegre & Benson,38
Fenwick & West,13
Fish & Richardson,8
Foley & Lardner,6
Foley Hoag,12
Fried Frank,20
Frost Brown Todd,10
Fulbright & Jaworski,34
Gardner Carton and Douglas,8
Gibson Dunn,8
Goodwin Procter,17
Greenberg Traurig,33
Haynes and Boone,34
Heller Ehrman,25
Hogan & Hartson,29
Holland & Knight,20
Howrey,3
Hughes Hubbard,25
Hunton & Williams,9
Husch and Eppenberger,9
Irell and Manella,26
Jenner & Block,38
Jones Day,7
Katten Muchin,12
Kaye Scholer,16
Kelley Drye and Warren,10
Kilpatrick Stockton,12
King & Spalding,24
Kirkland & Ellis,6
Kirkpatrick & Lockhart,30
Kramer Levin,23
Latham & Watkins,8
LeBoeuf Lamb,15
Locke Liddell and Sapp,19
Loeb and Loeb,5
Lord Bissell and Brook,3
Lowenstein Sandler,51
Luce Forward Hamilton and Scripps,9
Manatt Phelps and Phillips,23
Mayer Brown,29
McCarter and English,14
McDermott Will,8
McKee Nelson,5
Michael Best and Friedrich,8
Milbank Tweed,20
Miller Canfield Paddock and Stone,16
Mintz Levin,14
Moore and Van Allen,21
Morgan Lewis,17
Morrison & Foerster,28
Munger Tolles and Olson,7
Nelson Mullins Riley and Scarborough,10
Nixon Peabody,11
O'Melveny & Myers,23
Orrick,16
Patton Boggs,5
Paul Hastings,5
Paul Weiss,21
Perkins Coie,12
Pillsbury Winthrop,57
Porter Wright Morris and Arthur,23
Preston Gates and Ellis,28
Proskauer Rose,19
Quarles and Brady,15
Quinn Emanuel Urquhart Oliver and Hedges,1
Reed Smith,16
Robins Kaplan Miller and Ciresi,7
Robinson and Cole,9
Ropes & Gray,10
Saul Ewing,21
Schiff Hardin,14
Schulte Roth,12
Sedgwick Detert Moran and Arnold,18
Shearman & Sterling,26
Sheppard Mullin,10
Sidley Austin,10
Simpson Thacher,7
Skadden,12
Snell and Wilmer,9
Sonnenschein,26
Steptoe & Johnson,5
Stroock & Stroock,17
Sullivan & Cromwell,10
Sutherland Asbill,21
Thelen Reid,17
Thompson and Knight,14
Venable,13
Vinson & Elkins,26
Vorys Sater Seymour and Pease,15
Weil Gotshal,20
White & Case,20
Wiley Rein and Fielding,22
Williams and Connolly,2
Willkie Farr,13
Wilmer Cutler,18
Wilson Sonsini,14
Winstead Sechrest,8
Winston & Strawn,14
Wolf Block Schorr and Solis-Cohen,20
Womble Carlyle,20
