firm,voult2006,voult2007,voult2008,vault2005,voultCode,voultName
Adams and Reese,,,,,3,
Akin Gump,31,33,33,34,2,Akin Gump Strauss Hauer & Feld LLP
Alston & Bird,57,59,61,57,1,Alston & Bird LLP
Andrews Kurth,,,,,3,
Arent Fox,93,88,86,98,1,Arent Fox LLP
Arnold & Porter,19,19,21,18,1,Arnold & Porter LLP
Baker & Hostetler,,,,81,1,Baker & Hostetler LLP
Baker & McKenzie,95,90,92,45,1,Baker & Hostetler LLP
Baker and Daniels,45,43,43,,3,Baker & McKenzie
Ballard Spahr Andrews and Ingersoll,,,,,3,
Barnes and Thornburg,,,,,3,
Bingham McCutchen,67,67,64,70,1,Bingham McCutchen LLP
Blank Rome,,,,,3,
Boies Schiller and Flexner,39,45,46,40,1,Boies Schiller & Flexner LLP
Brown Rudnick Berlack Israels,,,,,3,
Bryan Cave,76,77,76,80,1,Bryan Cave LLP
Buchanan Ingersoll,,,,,3,
Cadwalader,36,31,26,35,2,Cadwalader Wickersham & Taft LLP
Cahill Gordon,56,55,55,47,2,Cahill Gordon & Reindel LLP
Carlton Fields,,,,,3,
Chadbourne & Parke,72,73,72,62,1,Chadbourne & Parke LLP
Choate Hall and Stewart,,,,95,1,Choate Hall & Stewart LLP
Cleary Gottlieb,8,7,7,7,1,Cleary Gottlieb Steen & Hamilton LLP
Cooley Godward,52,56,60,50,2,Cooley LLP
Covington & Burling,10,11,10,10,1,Covington & Burling LLP
Cravath,2,2,2,2,2,Cravath Swaine & Moore LLP
Crowell and Moring,78,79,83,83,1,Crowell & Moring LLP
Davis Polk,65,,54,5,1,DLA Piper
Davis Wright Tremaine,5,91,90,,3,Davis Polk & Wardwell
Debevoise & Plimpton,,,,14,1,Debevoise & Plimpton LLP
Dechert,13,13,12,60,1,Debevoise & Plimpton LLP
Dewey Ballantine,55,51,48,31,1,Dechert LLP
Dickstein Shapiro,,96,93,,3,Dewey & LeBoeuf LLP
DLA Piper,,94,95,69,1,Dickstein Shapiro LLP
